               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.035257,            0.014721,           0.0064275,             0.62861,             0.47644,             0.52108,             0.29968,            0.041173,           0.0073361,           0.0071591,            0.008218,            0.008218,            0.008218
                  56,            0.034654,            0.015061,           0.0056139,             0.51234,              0.5352,             0.48293,             0.26807,            0.041894,           0.0079693,           0.0071348,            0.008185,            0.008185,            0.008185
                  57,             0.03438,             0.01475,           0.0063614,             0.61124,             0.49929,             0.51133,             0.29672,            0.041073,           0.0075013,            0.007566,            0.008152,            0.008152,            0.008152
                  58,            0.034441,            0.015165,           0.0059185,             0.50018,             0.55926,             0.50062,             0.29284,            0.039816,           0.0073174,           0.0074914,            0.008119,            0.008119,            0.008119
                  59,            0.034872,            0.015242,            0.006227,             0.56691,             0.53454,              0.5257,             0.31148,            0.040641,           0.0075214,           0.0077459,            0.008086,            0.008086,            0.008086
                  60,            0.034465,            0.014599,           0.0061095,              0.4819,             0.56417,             0.48459,             0.28038,            0.040541,            0.007739,           0.0081856,            0.008053,            0.008053,            0.008053
                  61,            0.034341,            0.014979,           0.0054873,             0.51325,             0.50601,             0.45744,             0.26342,             0.04228,           0.0081728,           0.0076642,             0.00802,             0.00802,             0.00802
                  62,            0.033762,             0.01506,           0.0054241,             0.61048,             0.53547,             0.51848,             0.30217,             0.04059,           0.0077976,            0.008125,            0.007987,            0.007987,            0.007987
                  63,            0.032467,            0.014287,           0.0051055,             0.59901,             0.57424,             0.52954,             0.30267,            0.040124,           0.0075525,           0.0073243,            0.007954,            0.007954,            0.007954
                  64,            0.033218,            0.014052,           0.0050192,             0.62454,             0.53799,             0.51593,             0.29939,             0.03982,           0.0076615,           0.0070055,            0.007921,            0.007921,            0.007921
                  65,            0.032938,            0.014631,           0.0053177,             0.62273,             0.50132,             0.51132,             0.29047,            0.040671,           0.0078671,           0.0079256,            0.007888,            0.007888,            0.007888
                  66,            0.033286,            0.014621,           0.0051647,             0.59649,             0.52903,             0.52256,              0.3117,            0.040921,           0.0077339,           0.0083138,            0.007855,            0.007855,            0.007855
                  67,            0.032844,            0.013948,           0.0055005,             0.59062,             0.50424,             0.48143,              0.2798,            0.041308,           0.0080398,           0.0081385,            0.007822,            0.007822,            0.007822
                  68,             0.03264,            0.014427,           0.0048745,             0.58339,             0.53283,              0.4963,             0.29108,            0.040589,           0.0077434,           0.0071239,            0.007789,            0.007789,            0.007789
                  69,              0.0326,              0.0142,           0.0047414,             0.58524,             0.50113,             0.50982,             0.29572,            0.040195,           0.0079782,           0.0073444,            0.007756,            0.007756,            0.007756
                  70,             0.03265,            0.015082,           0.0051668,             0.60724,             0.49626,             0.49831,             0.30378,            0.039446,           0.0076218,           0.0080548,            0.007723,            0.007723,            0.007723
                  71,            0.032232,            0.013914,           0.0046956,             0.56119,             0.50635,             0.49206,             0.29088,            0.040878,           0.0075754,           0.0075097,             0.00769,             0.00769,             0.00769
                  72,            0.032724,            0.013952,           0.0048923,             0.58174,             0.53392,              0.4952,             0.28521,            0.039857,           0.0077614,           0.0077855,            0.007657,            0.007657,            0.007657
                  73,             0.03213,            0.013848,           0.0048513,             0.60796,             0.50648,             0.48582,             0.29898,            0.039011,           0.0076859,            0.008298,            0.007624,            0.007624,            0.007624
                  74,            0.032742,            0.013809,           0.0051557,             0.53102,             0.54289,             0.45766,             0.27636,            0.041764,           0.0077154,           0.0087706,            0.007591,            0.007591,            0.007591
                  75,            0.032446,            0.014127,           0.0045285,             0.62165,             0.49471,             0.47913,             0.28096,            0.041549,           0.0082588,            0.008829,            0.007558,            0.007558,            0.007558
                  76,            0.032577,            0.014032,           0.0050187,             0.61681,             0.50394,             0.48295,              0.2909,            0.040934,           0.0077668,           0.0079525,            0.007525,            0.007525,            0.007525
                  77,             0.03217,            0.013887,           0.0050695,             0.60525,             0.54349,             0.53551,             0.31936,            0.039171,           0.0074809,           0.0087234,            0.007492,            0.007492,            0.007492
                  78,            0.031339,            0.013691,           0.0049276,             0.62636,             0.52046,             0.53302,             0.31669,            0.040238,           0.0077756,           0.0077277,            0.007459,            0.007459,            0.007459
                  79,            0.031182,            0.013637,           0.0049196,             0.64281,             0.50557,             0.53288,             0.31136,            0.040015,           0.0075582,           0.0083598,            0.007426,            0.007426,            0.007426
                  80,            0.032125,            0.014036,            0.004953,             0.56057,             0.53067,             0.48831,             0.30569,             0.04047,           0.0079207,            0.010529,            0.007393,            0.007393,            0.007393
                  81,            0.030958,            0.013635,           0.0049339,             0.57595,             0.53322,             0.50782,                0.31,            0.038445,            0.007644,           0.0078668,             0.00736,             0.00736,             0.00736
                  82,            0.031486,            0.013384,           0.0047961,             0.55235,             0.54894,             0.51439,              0.3022,            0.040394,           0.0076816,           0.0089804,            0.007327,            0.007327,            0.007327
                  83,            0.031297,            0.013622,           0.0049279,              0.5703,             0.54717,             0.52501,             0.31209,            0.039574,           0.0077475,           0.0073062,            0.007294,            0.007294,            0.007294
                  84,            0.030894,            0.013708,           0.0050183,             0.60841,             0.52072,             0.50463,              0.3077,            0.039629,           0.0077483,           0.0073618,            0.007261,            0.007261,            0.007261
                  85,            0.030631,            0.013936,           0.0050983,             0.61899,             0.49882,             0.51277,             0.29878,            0.040194,           0.0076316,           0.0073553,            0.007228,            0.007228,            0.007228
                  86,             0.03067,            0.013482,           0.0043081,             0.57645,             0.51931,             0.50355,             0.30391,            0.040869,           0.0078474,            0.007972,            0.007195,            0.007195,            0.007195
                  87,            0.031492,            0.013981,           0.0044637,             0.57278,             0.52944,             0.49464,             0.29615,            0.039212,            0.007643,           0.0074974,            0.007162,            0.007162,            0.007162
                  88,            0.030439,            0.013096,           0.0052189,             0.64556,             0.53253,             0.53641,             0.32485,            0.040315,           0.0078377,           0.0075418,            0.007129,            0.007129,            0.007129
                  89,            0.030797,            0.013505,           0.0045041,             0.64858,             0.54135,             0.53461,             0.32496,            0.039757,           0.0077966,            0.008697,            0.007096,            0.007096,            0.007096
                  90,            0.030716,            0.013629,           0.0045269,             0.63529,              0.5025,             0.48144,             0.29179,            0.042064,           0.0080618,           0.0076761,            0.007063,            0.007063,            0.007063
                  91,            0.030728,            0.013147,           0.0047004,             0.63998,             0.51527,             0.51377,             0.30062,            0.040208,           0.0078156,           0.0092906,             0.00703,             0.00703,             0.00703
                  92,            0.030814,            0.013374,           0.0043996,             0.63313,             0.54567,             0.51754,             0.31635,             0.03803,           0.0079047,           0.0082648,            0.006997,            0.006997,            0.006997
                  93,            0.029938,            0.013461,           0.0040023,             0.61742,             0.54934,             0.55344,             0.33068,            0.038253,           0.0075162,           0.0074722,            0.006964,            0.006964,            0.006964
                  94,            0.030256,            0.013245,           0.0044766,             0.59483,             0.53013,             0.52919,             0.31541,            0.039671,           0.0078483,           0.0076249,            0.006931,            0.006931,            0.006931
                  95,            0.030091,            0.013084,           0.0043927,             0.58997,             0.55017,             0.51173,             0.30697,            0.039756,           0.0079386,           0.0084056,            0.006898,            0.006898,            0.006898
                  96,            0.029894,             0.01274,           0.0043691,             0.59244,             0.52163,             0.50148,             0.29785,            0.041018,           0.0077382,           0.0093405,            0.006865,            0.006865,            0.006865
                  97,            0.029431,             0.01275,           0.0040237,             0.54631,             0.57712,             0.51145,             0.30215,            0.039495,           0.0080184,           0.0081565,            0.006832,            0.006832,            0.006832
                  98,             0.02963,            0.012919,           0.0042226,             0.50422,             0.60102,             0.51473,              0.3118,            0.039532,            0.007725,           0.0078769,            0.006799,            0.006799,            0.006799
                  99,            0.029344,            0.012746,           0.0042935,             0.57716,             0.55431,             0.52469,             0.32575,            0.039247,           0.0077455,           0.0077976,            0.006766,            0.006766,            0.006766
                 100,            0.030099,            0.012895,           0.0039816,             0.60399,             0.56459,             0.53187,             0.32272,            0.039305,           0.0079161,           0.0079359,            0.006733,            0.006733,            0.006733
                 101,            0.029182,            0.012995,           0.0039361,             0.58059,             0.56449,             0.53516,             0.31974,            0.039308,           0.0079221,           0.0075937,              0.0067,              0.0067,              0.0067
                 102,            0.029836,            0.012849,           0.0039332,             0.58478,             0.58283,             0.51338,             0.30985,            0.040208,           0.0081312,           0.0075559,            0.006667,            0.006667,            0.006667
                 103,            0.029269,            0.012748,           0.0045466,             0.61211,             0.56473,             0.53721,              0.3232,            0.041145,           0.0080359,           0.0074457,            0.006634,            0.006634,            0.006634
                 104,            0.028841,            0.013098,           0.0046511,             0.59784,             0.54871,             0.51343,             0.30409,            0.039618,           0.0077849,           0.0082937,            0.006601,            0.006601,            0.006601
                 105,            0.029342,            0.013025,           0.0044636,             0.61239,             0.58194,             0.53225,             0.31408,            0.039838,           0.0076887,           0.0079227,            0.006568,            0.006568,            0.006568
                 106,            0.029153,            0.012831,            0.003951,             0.65897,             0.52539,             0.52253,             0.32419,            0.039957,           0.0080188,           0.0087594,            0.006535,            0.006535,            0.006535
                 107,            0.028584,            0.012963,           0.0037369,             0.62277,             0.54014,             0.50879,             0.29864,            0.039509,           0.0079464,           0.0079545,            0.006502,            0.006502,            0.006502
                 108,            0.028991,            0.012648,           0.0039124,              0.6667,             0.50521,             0.52878,             0.32229,            0.038358,           0.0077446,           0.0069858,            0.006469,            0.006469,            0.006469
                 109,            0.028883,            0.012485,           0.0038987,             0.64317,             0.54431,             0.52488,             0.32533,             0.03827,           0.0081553,           0.0081762,            0.006436,            0.006436,            0.006436
                 110,            0.028952,            0.012551,           0.0036595,             0.64062,             0.52596,             0.53393,             0.32765,            0.039047,           0.0080876,           0.0082795,            0.006403,            0.006403,            0.006403
                 111,            0.028609,            0.012791,           0.0040891,             0.62862,             0.52368,             0.52796,             0.32109,            0.038694,           0.0078598,           0.0079947,             0.00637,             0.00637,             0.00637
                 112,            0.028502,            0.012074,           0.0045265,             0.59897,             0.55043,             0.52819,             0.33133,            0.039072,           0.0079223,           0.0070596,            0.006337,            0.006337,            0.006337
                 113,            0.028589,            0.012541,           0.0039854,             0.60428,             0.53286,             0.53475,             0.31773,            0.038613,           0.0078357,           0.0072899,            0.006304,            0.006304,            0.006304
                 114,            0.028207,            0.012372,           0.0037793,             0.58339,             0.53851,             0.50827,             0.31217,              0.0387,           0.0077439,           0.0065951,            0.006271,            0.006271,            0.006271
                 115,            0.028168,            0.012674,           0.0040877,             0.61574,             0.51362,             0.50655,             0.31608,            0.038545,           0.0078695,           0.0077698,            0.006238,            0.006238,            0.006238
                 116,            0.028047,            0.012602,           0.0040134,             0.65676,             0.53223,             0.52968,             0.33182,            0.038403,            0.007856,           0.0076425,            0.006205,            0.006205,            0.006205
                 117,            0.029152,            0.012396,           0.0038886,             0.59347,              0.5494,             0.53295,             0.33159,             0.03824,           0.0077509,           0.0077697,            0.006172,            0.006172,            0.006172
                 118,            0.028403,            0.012717,           0.0040363,             0.61374,             0.55339,             0.52614,             0.32478,            0.038166,           0.0077519,           0.0078029,            0.006139,            0.006139,            0.006139
                 119,            0.027865,            0.012574,           0.0039437,              0.6627,             0.51591,              0.5095,             0.30584,            0.039933,           0.0083094,           0.0075702,            0.006106,            0.006106,            0.006106
