               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.023924,            0.010597,           0.0016819,             0.87842,             0.78837,             0.86797,             0.59232,             0.03356,           0.0080261,           0.0014052,           0.0022656,           0.0022656,           0.0022656
                  52,            0.023742,            0.010525,           0.0016283,             0.87583,             0.79097,             0.86773,             0.59016,            0.033523,           0.0080156,           0.0014367,           0.0021109,           0.0021109,           0.0021109
                  53,            0.023378,            0.010482,           0.0015808,             0.87325,             0.79179,             0.86697,             0.59109,            0.033515,           0.0080023,           0.0014534,           0.0019563,           0.0019563,           0.0019563
                  54,            0.023326,            0.010378,           0.0015822,             0.85734,             0.80723,             0.86859,             0.58919,            0.033512,           0.0079899,           0.0014551,           0.0018016,           0.0018016,           0.0018016
                  55,            0.022898,            0.010186,           0.0015065,             0.85465,             0.81024,             0.86576,             0.58752,            0.033484,           0.0079775,           0.0014658,           0.0016469,           0.0016469,           0.0016469
                  56,            0.022674,            0.010126,           0.0015253,             0.84598,             0.81623,             0.86593,             0.58743,            0.033472,           0.0079613,           0.0014443,           0.0014922,           0.0014922,           0.0014922
                  57,            0.022382,            0.009972,           0.0014728,             0.84213,             0.81882,              0.8651,             0.58821,            0.033437,            0.007947,           0.0014324,           0.0013375,           0.0013375,           0.0013375
                  58,            0.022182,           0.0099451,            0.001408,             0.84892,             0.81776,              0.8644,             0.58631,             0.03339,           0.0079308,           0.0014293,           0.0011828,           0.0011828,           0.0011828
                  59,            0.021872,           0.0098648,           0.0013612,             0.86075,             0.80711,             0.86449,              0.5877,            0.033351,           0.0079145,           0.0014403,           0.0010281,           0.0010281,           0.0010281
                  60,            0.021694,           0.0097805,           0.0014049,             0.86282,             0.80228,             0.86458,             0.58846,            0.033323,           0.0079126,           0.0014567,          0.00087344,          0.00087344,          0.00087344
                  61,            0.021344,           0.0096214,           0.0013031,             0.86133,             0.80089,              0.8662,             0.58776,            0.033299,           0.0079088,           0.0014908,          0.00071875,          0.00071875,          0.00071875
                  62,            0.020979,           0.0095502,           0.0013365,             0.85852,             0.80213,              0.8685,             0.59082,            0.033289,           0.0079088,           0.0015118,          0.00056406,          0.00056406,          0.00056406
                  63,            0.020682,           0.0093893,           0.0012164,             0.88843,             0.78272,             0.86834,             0.59092,            0.033274,           0.0079069,           0.0015368,          0.00040938,          0.00040938,          0.00040938
